query_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1
1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
5,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
6,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1
7,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1
11,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1
12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1
15,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1
16,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
17,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
18,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1
19,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
22,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
23,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
24,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1
25,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1
26,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1
27,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
30,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
31,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
32,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1
33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
34,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1
35,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
36,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
37,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1
38,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
39,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1
40,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
41,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
42,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1
43,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
44,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
45,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1
48,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1
49,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
50,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
51,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1
52,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
53,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1
54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1
59,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
60,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0
61,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
66,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
