query_id,doc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,210771,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
1,211083,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1
2,210708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,210103,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
4,211970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,210520,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1
6,210512,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1
7,210546,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
8,210673,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
9,211019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,212040,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
11,213373,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
12,213526,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
13,212459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,211687,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1
15,212133,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
16,211344,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17,212233,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1
18,211303,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
19,211018,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
20,211615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,212604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,212824,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
23,213396,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
24,211852,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1
25,212107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,210880,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
27,211971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,210744,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
29,210136,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1
30,213259,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
31,213195,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1
32,211698,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1
33,212666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,210609,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
35,212779,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36,212732,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1
37,213272,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1
38,210359,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
39,212028,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
40,213376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,212244,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
