query_id,doc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,220550,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1,221236,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,220572,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
3,222995,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1
4,221582,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
5,220202,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
6,221032,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
7,220388,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
8,221810,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
9,220327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,223824,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1
11,222333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,220389,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13,223277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,222734,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
15,220747,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
16,223254,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
17,220488,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
18,222500,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
19,222416,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0
20,220165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,223443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,221213,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
23,222391,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
24,222468,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
25,220837,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
26,221075,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
27,220176,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1
28,221466,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1
29,223090,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1
30,220489,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
31,224014,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
32,221007,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
33,221966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,222984,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
35,220376,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
36,223220,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1
37,222511,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1
38,220501,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
39,222999,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
40,223228,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
41,221566,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
42,221498,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1
43,223163,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
44,223701,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
45,221116,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1
46,220483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,220706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,221265,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
49,223029,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
50,222063,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1
51,221946,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
