query_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
3,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0
14,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
15,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
16,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
24,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1
30,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
33,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0
34,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1
35,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
36,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
37,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
38,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
39,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
40,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
41,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
46,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1
47,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
48,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
51,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
