query_id,doc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2299,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,245,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
3,2620,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1
4,1272,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,269,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
7,3812,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3030,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1539,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,4000,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
12,2090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,2322,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0
14,4920,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
15,2413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,5002,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0
18,4490,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1377,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0
20,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4620,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1
24,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,2782,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
26,441,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
27,402,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
28,3309,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,2002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,4243,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
34,1205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,2448,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,3942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,2894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,320,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
39,5032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,1905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,4757,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
42,4953,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1
43,3890,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,585,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,863,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
46,1826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,810,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,3011,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
50,85,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
51,4520,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
52,3569,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1
53,238,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
54,2455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1134,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
56,5329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,791,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
58,3950,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
59,3194,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1028,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,316,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
62,261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,2328,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1
64,293,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
65,4648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,1412,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0
67,2839,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
68,4827,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0
69,253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,1686,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1
71,1523,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
72,4487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,1980,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
74,4941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,3028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,3972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,4179,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0
78,1383,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1
79,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3055,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,3640,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,1406,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
83,5251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,2218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,2880,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,4521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,1880,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,1236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,3839,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
91,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,1521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,1368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,3508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,2471,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0
96,4321,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
97,2347,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1
98,1773,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,5237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,1196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,2764,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
102,2101,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
103,3328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,5207,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
106,2636,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
107,4117,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0
108,1270,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
109,145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,3231,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
111,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,547,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
113,2693,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
114,2993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,1943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,1060,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,398,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,4710,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,4397,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
121,3808,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
122,349,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
123,2855,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
124,1779,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
125,4188,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
126,3686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,3740,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,3747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,4057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,2275,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
131,950,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1
132,2766,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1
133,1738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,2704,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1
135,763,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,4319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,3255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,4816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,2523,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
141,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,660,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
143,2717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,1407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,1984,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0
146,1543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,294,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
148,4359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,1959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,2846,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,4817,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,1189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,2548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,2227,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1
155,3206,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0
156,5179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,268,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
158,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,3195,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
160,1801,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
161,3365,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
162,977,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,1716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,4347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,2551,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1
168,2423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,3332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,4310,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
172,2458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,1926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,2142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,864,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
176,5204,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
177,2965,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1
178,355,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
179,2885,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
180,1435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,4983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182,646,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1
183,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,619,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1
185,2893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186,4904,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1
187,1431,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
188,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,1114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2273,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
191,1497,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
192,2449,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
193,1965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,1058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,690,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,4175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,4182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,88,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
200,1409,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
201,1321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,969,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
203,764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
204,2053,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0
205,2823,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
206,4137,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1
207,1155,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
208,3785,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,2244,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
210,3615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,5040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,2261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,3922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,3002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,1046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,3974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,2696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,4348,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
219,1871,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
220,35,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1
221,4201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,2255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,3679,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,3954,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0
225,1181,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
226,2306,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1
227,3985,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0
228,1089,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
229,2242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230,5094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
231,1231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,4194,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1
233,92,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0
