query_id,doc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,112279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,112416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,110674,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1
3,110065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,110285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,110490,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,113329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,112753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,110503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,110643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,111790,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,110674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,111633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,112868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,110852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,113178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,110358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,111873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,113306,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
19,110782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,112394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,112641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,112153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,111807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,110784,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,112572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,110799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,111249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,110235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,110202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,110533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,112385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,112931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,110117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
