query_id,ce_score_1,ce_score_2,ce_score_3,ce_score_4,ce_score_5
tc_1,0.9962656,0.9925505,0.8922396,0.97369146,0.96028423
tc_3,0.99434775,0.9901968,0.9793011,0.99795234,0.9976572
tc_5,0.9780181,0.83520645,0.32527202,0.39161405,0.23600258
tc_8,0.994665,0.9935009,0.9711412,0.9737802,0.9958754
tc_9,0.008219479,0.7019106,0.01022063,0.777128,0.39410982
tc_10,0.76187426,0.024062397,0.9869011,0.038010623,0.5712758
tc_11,0.9975629,0.98882794,0.948083,0.9681478,0.6550383
tc_15,0.75942624,0.0018228005,0.00087187556,0.0018593718,0.03117378
tc_16,0.057943694,0.09319926,0.40650398,0.0116569,0.018767117
tc_17,0.9955048,0.98663414,0.9945592,0.9901918,0.99564457
tc_18,0.0017801691,0.0038669046,0.007624406,0.0030118995,0.0048941458
tc_19,0.40964648,0.44934386,0.0011080054,0.00054996443,0.00036317212
tc_21,0.59630424,0.9466411,0.9444031,0.95245993,0.9473672
tc_22,5.1390627e-05,0.02213255,0.0013503471,9.230029e-05,0.00015480557
tc_23,0.5493938,0.712744,0.9233786,0.9860416,0.8940594
tc_24,0.70374143,0.72795373,0.7240204,0.8427257,0.8427257
tc_25,0.0051884158,0.12512851,0.008289446,0.022032367,0.15159585
tc_26,0.98533785,0.9212729,0.9979261,0.7399641,0.62660563
tc_27,0.99760926,0.98801595,0.9737709,0.5055059,0.9839812
tc_28,0.98648375,0.9924689,0.9167193,0.9445406,0.8589548
tc_30,0.015022233,0.0056759333,0.031299938,0.01050618,0.010869622
tc_31,0.78681177,0.45804256,0.55848724,0.81074655,0.34006548
tc_32,0.6596693,0.023272136,0.63117737,0.011084578,0.45296043
tc_36,0.85030353,0.12139481,0.035172094,0.06886892,0.028541835
tc_38,0.012024327,0.041793402,0.0110658975,0.0018713403,0.0424337
tc_39,0.9623835,0.908071,0.932705,0.96153903,0.47150862
tc_41,0.23852222,0.12556987,0.26326078,0.00838477,0.13980336
tc_43,0.97472554,0.8397125,0.9099369,0.99057823,0.7513966
tc_44,0.6262135,0.41706455,0.18726835,0.4071387,0.00028858607
tc_45,0.9946643,0.9992624,0.9956898,0.9948277,0.9969517
tc_46,0.9575539,0.96285874,0.9685674,0.9865153,0.9357387
tc_47,0.9985446,0.99831593,0.99920374,0.9876807,0.99743444
tc_48,0.5924992,0.2177071,0.8356635,0.16353372,0.56353116
tc_50,0.9082422,0.81261486,0.98576003,0.9851505,0.94718677
tc_52,0.9972447,0.9984835,0.9914206,0.9952291,0.99798274
tc_53,0.78593993,0.67077667,0.70015115,0.7438767,0.012926337
tc_54,0.9083962,0.9346007,0.743481,0.99459076,0.99224466
tc_55,0.9886657,0.9983936,0.7443543,0.9942743,0.98609805
tc_57,0.9080298,0.8656515,0.9157633,0.88193923,0.00038389096
tc_58,0.9893489,0.986477,0.9851526,0.9583167,0.9577235
tc_60,0.8567457,0.40989524,0.91819245,0.98261964,0.6035359
tc_61,0.6155148,0.4739635,0.89673,0.97545433,0.4888799
tc_63,0.98708296,0.4243925,0.9562768,0.9101293,0.9407213
tc_65,0.0022175128,0.010245251,0.0116755925,0.00986394,0.008237617
tc_66,0.51882094,0.13804585,0.0025909767,0.014013235,0.0024011151
tc_67,0.6678087,0.8868797,0.3178848,0.12112367,0.004252929
tc_68,0.822835,0.96786064,0.9974322,0.93887985,0.9854543
tc_70,0.28508833,0.08029362,0.033694703,0.000668972,0.0013372621
tc_72,0.10511901,0.00047238116,0.0030524489,0.0004433002,0.04359855
tc_77,0.9864318,0.9459707,0.86033326,0.9574972,0.9781869
tc_78,0.82192457,0.5388755,0.9213435,0.58089715,0.958617
tc_80,0.09487572,0.114934355,0.019034626,0.019700747,0.0260708
tc_81,0.8035771,0.35797688,0.5130998,0.82189757,0.5752063
tc_82,0.32793322,0.017726623,0.5183253,0.5989928,0.5989928
tc_84,0.008678885,0.015400031,0.023829494,0.015475826,0.012801795
tc_85,0.9902479,0.95311594,0.9954336,0.96000487,0.89517826
tc_86,0.9946964,0.99759585,0.008481822,0.0061047734,0.99676067
tc_87,0.7536552,0.36802378,0.9414609,0.5039177,0.53917944
tc_88,0.5379423,0.032980215,0.0109610185,0.38703516,0.004086831
tc_90,0.76859707,0.7440138,0.61716175,0.8776875,0.16572414
tc_91,0.03037005,0.071185715,0.0036090005,0.000963525,0.0055406084
tc_94,0.9618932,0.939382,0.68621296,0.9157136,0.96142983
tc_96,0.0056511876,0.001003686,0.003495982,0.00022011723,0.00022011723
tc_97,0.11523107,0.87875986,0.0863761,0.0095285,0.11956623
tc_98,0.15807393,0.08470395,0.010025618,0.035141848,0.5963448
tc_99,0.99685377,0.91325146,0.9938095,0.9964091,0.9961681
tc_100,0.9968725,0.95421314,0.99561405,0.9809552,0.97953737
tc_101,0.28786966,0.7597535,0.5962265,0.88506156,0.97204417
tc_102,0.28485426,0.39913666,0.21821848,0.041561097,0.68268543
tc_103,0.5249964,0.8088282,0.38375747,0.7726937,0.23633325
tc_104,0.8698672,0.94105333,0.82378477,0.97036684,0.09398625
tc_107,0.995353,0.9987186,0.9987186,0.98889613,0.9915712
tc_108,0.015316814,0.0031382977,0.019630836,0.0029605152,0.0029226674
tc_109,0.7181898,0.21552843,0.8897693,0.20666721,0.66275793
tc_110,0.9923034,0.89045197,0.98174906,0.9833394,0.9995516
tc_111,0.9216704,0.68459123,0.9737604,0.5885949,0.94014794
tc_112,0.6955014,0.7225955,0.36906776,0.7960068,0.7906178
tc_113,0.32325774,0.9858277,0.010140803,0.7870123,0.5735024
tc_114,0.39975142,0.92622024,0.448538,0.36148039,0.4631341
tc_115,0.059196733,0.04100827,0.08637543,0.02098494,0.67610514
tc_117,0.38397938,0.4963708,0.86810446,0.4289218,0.77820265
tc_120,0.9533066,0.94697785,0.92239666,0.9722181,0.0718028
tc_123,0.942527,0.38033694,0.14177117,0.11709249,0.6326187
tc_124,0.7004761,0.42322007,0.012585518,0.00020035874,0.66518074
tc_125,0.89325815,0.96380115,0.0023243907,0.012854602,0.0032349362
tc_126,0.98823124,0.98823124,0.98823124,0.9687801,0.7932052
tc_127,0.16247782,0.8686972,0.0054231584,0.84464866,0.1982448
tc_128,0.9803027,0.9279082,0.99109554,0.9171148,0.040746447
tc_130,0.9567988,0.95315146,0.9077231,0.66171694,0.9500978
tc_131,0.9784323,0.017781781,0.04682577,0.8981203,0.34003899
tc_132,0.8276888,0.72392,0.00043981947,0.21192919,0.12972102
tc_134,0.8725064,0.9732832,0.88766205,0.76866496,0.993873
tc_135,0.18044505,0.13258858,0.0514818,0.039888762,0.11770694
tc_136,0.8344238,0.53757936,0.29211217,0.7763057,0.46643972
tc_138,0.924159,0.8487967,0.0034945072,0.9197075,0.97778076
tc_139,0.98788446,0.9931364,0.7629152,0.9894042,0.99272245
tc_140,0.95680785,0.19739781,0.79714435,0.31437147,0.95295775
tc_141,0.94542634,0.4592463,0.99493223,0.98594785,0.9716116
tc_145,0.12149519,0.9023614,0.002248027,0.0021681983,0.00045644317
tc_146,0.939265,0.6398024,0.2820301,0.5291818,0.97639126
tc_150,0.98881626,0.7477092,0.9954823,0.9726437,0.95721674
tc_154,0.6411301,0.60191184,0.6052529,0.14677456,0.47365424
tc_155,0.8636382,0.9245979,0.45220456,0.15664396,0.6402941
tc_164,0.992778,0.05330587,0.7692994,0.79574436,0.13093412
tc_166,0.9872393,0.04775377,0.04775377,0.93351555,0.5195775
tc_168,0.41340664,0.083753176,0.81297445,0.4800744,0.31456167
tc_171,0.9090803,0.9985727,0.10287651,0.6458097,0.28180858
tc_175,0.43957922,0.5319024,0.55042684,0.42340156,0.06662186
tc_179,0.36789384,0.5859491,0.34781894,0.89198494,0.4811115
tc_184,0.9932487,0.038439367,0.08573555,0.04814042,0.065976806
tc_186,0.027450502,0.03454481,0.032028485,0.101526715,0.07158584
tc_190,0.91270137,0.08800119,0.0030232812,0.07841697,0.017430844
tc_194,0.040069398,0.0066029234,0.022420961,0.9157748,0.0026258267
tc_196,0.28945667,0.0013240976,0.0052148243,0.14510919,0.23466444
tc_198,0.85315627,0.8184586,0.619489,0.41270545,0.19535322
tc_199,0.77741474,0.92107826,0.6463206,0.73055613,0.21000282
tc_205,0.046667203,0.7100098,0.6888121,0.5712938,0.91114277
tc_206,0.8761109,0.8761109,0.9860765,0.9941835,0.99446106
tc_207,0.99285805,0.98680276,0.3081322,0.92260706,0.92260706
tc_209,0.90952057,0.21043405,0.9714949,0.9868226,0.8867388
tc_210,0.00013355518,0.0042360383,0.0004851447,0.0041212803,7.1995804e-05
tc_211,0.6164917,0.8545702,0.9965358,0.9716916,0.89026475
tc_212,0.99117005,0.9996213,0.99822015,0.8636866,0.998869
tc_215,0.98673105,0.9873548,0.9939412,0.9976421,0.9421566
