query_id,ce_score_1,ce_score_2,ce_score_3,ce_score_4,ce_score_5
tc_1,0.9887944,0.98323935,0.8845762,0.94977,0.92216486
tc_3,0.9908592,0.98518133,0.9786027,0.9960134,0.99538463
tc_5,0.9738783,0.8090492,0.5589553,0.6222983,0.46470946
tc_8,0.98422813,0.98289376,0.9370845,0.94930065,0.98883504
tc_9,0.008924022,0.7408112,0.051538907,0.8296647,0.3830419
tc_10,0.618267,0.05511667,0.960949,0.076786295,0.39730346
tc_11,0.99311125,0.9882228,0.9753591,0.98113877,0.8745955
tc_22,6.866288e-05,0.068153575,0.007853548,0.00022601182,0.00042250927
tc_25,0.027502935,0.32043812,0.020709362,0.037724864,0.39258063
tc_31,0.80646765,0.5731335,0.68911266,0.8504344,0.48624864
tc_39,0.89833933,0.7860103,0.9256262,0.89511704,0.3546488
tc_47,0.9944882,0.9962734,0.9975205,0.9881417,0.9946308
tc_48,0.72755605,0.36579707,0.8038399,0.32801196,0.6292869
tc_57,0.8077223,0.7344452,0.7962078,0.76648796,0.0015448286
tc_58,0.99114066,0.9833519,0.9820825,0.9509471,0.95936906
tc_63,0.98451865,0.7454072,0.9665881,0.92185026,0.9046845
tc_65,0.015599315,0.09431447,0.20250352,0.060974568,0.065167435
tc_67,0.6539019,0.89507854,0.26063877,0.30705088,0.013396403
tc_68,0.59697264,0.78847015,0.98146397,0.7006044,0.86733603
tc_78,0.8571346,0.6438608,0.93319935,0.6636465,0.93499607
tc_80,0.20810464,0.21686189,0.06844357,0.06871129,0.11424154
tc_82,0.7021776,0.084215775,0.73231804,0.731809,0.731809
tc_85,0.976635,0.9123108,0.9841283,0.8959126,0.8734189
tc_88,0.55516714,0.07846104,0.0175635,0.48768526,0.0063520004
tc_90,0.7650966,0.7421589,0.6077449,0.8648732,0.31235293
tc_97,0.47018805,0.8592693,0.44428042,0.064818986,0.4150617
tc_99,0.9900096,0.88318104,0.98183906,0.9884851,0.9865455
tc_102,0.5745059,0.5415804,0.57325643,0.21106449,0.7366739
tc_103,0.57146263,0.82674414,0.44164988,0.7564346,0.32191855
tc_107,0.9921812,0.9961274,0.9961274,0.98439795,0.9769956
tc_110,0.9797839,0.7697996,0.9469756,0.95155174,0.9979113
tc_111,0.9414476,0.84402597,0.97108275,0.76198596,0.9624651
