query_id,ce_score_1,ce_score_2,ce_score_3,ce_score_4,ce_score_5
triviaqa::olmes:tc_1,0.97953564,0.95745564,0.8535754,0.8865153,0.8722984
triviaqa::olmes:tc_3,0.94951016,0.76947606,0.8364441,0.97001857,0.9709307
triviaqa::olmes:tc_5,0.6727967,0.51919264,0.2998046,0.41689453,0.14961995
triviaqa::olmes:tc_8,0.97528756,0.97021884,0.93047893,0.9491804,0.9773991
triviaqa::olmes:tc_9,0.018932521,0.8024187,0.04608802,0.7355003,0.34452656
triviaqa::olmes:tc_10,0.6632656,0.06784708,0.94380665,0.0575246,0.53716147
triviaqa::olmes:tc_11,0.94115597,0.8954005,0.91191536,0.9075496,0.6436386
triviaqa::olmes:tc_15,0.536995,0.0054118205,0.0037975989,0.005443115,0.07526561
triviaqa::olmes:tc_16,0.10064918,0.093933895,0.23124719,0.023372507,0.01947262
triviaqa::olmes:tc_17,0.93018395,0.69046295,0.86676025,0.6556495,0.97937095
triviaqa::olmes:tc_18,0.019567903,0.024637207,0.05738194,0.020564618,0.031203797
triviaqa::olmes:tc_19,0.44176796,0.3179386,0.004527413,0.00436086,0.0053721885
triviaqa::olmes:tc_21,0.3852002,0.82060194,0.86624664,0.87874216,0.8118896
triviaqa::olmes:tc_22,0.000535669,0.028553823,0.020574853,0.0007350543,0.0006725868
triviaqa::olmes:tc_23,0.8355107,0.7030103,0.9224217,0.97326463,0.87984174
triviaqa::olmes:tc_24,0.1952703,0.2272428,0.1588091,0.26662952,0.26662952
triviaqa::olmes:tc_25,0.017848454,0.3740967,0.039424025,0.17777635,0.22972304
triviaqa::olmes:tc_26,0.81603897,0.6475803,0.9665286,0.4092138,0.31243291
triviaqa::olmes:tc_27,0.9713641,0.9450385,0.9123054,0.6468828,0.93803304
triviaqa::olmes:tc_28,0.92342776,0.96080965,0.72700405,0.747543,0.7032494
triviaqa::olmes:tc_30,0.046559677,0.0154609615,0.055870976,0.024986377,0.025661668
triviaqa::olmes:tc_31,0.47281137,0.21771899,0.2719265,0.43714315,0.25415736
triviaqa::olmes:tc_32,0.24531576,0.025481904,0.24370317,0.02755727,0.16671489
triviaqa::olmes:tc_36,0.597289,0.08673006,0.08134528,0.13178661,0.058021035
triviaqa::olmes:tc_38,0.010903417,0.012669548,0.0050246934,0.0029116217,0.063796155
triviaqa::olmes:tc_39,0.6605936,0.68788457,0.6182451,0.6679981,0.36100152
triviaqa::olmes:tc_41,0.25401896,0.15198629,0.2589815,0.026034437,0.11489491
triviaqa::olmes:tc_43,0.8341509,0.45123303,0.6564997,0.8769344,0.40143958
triviaqa::olmes:tc_44,0.48557538,0.44722497,0.333769,0.43833715,0.0023902582
triviaqa::olmes:tc_45,0.9865175,0.9961851,0.9681676,0.9884166,0.9900159
triviaqa::olmes:tc_46,0.8552704,0.8923005,0.9171836,0.94365364,0.89171135
triviaqa::olmes:tc_47,0.9432712,0.9025377,0.99287283,0.67864627,0.81107783
triviaqa::olmes:tc_48,0.75941145,0.61162865,0.77365243,0.3669063,0.5504309
triviaqa::olmes:tc_50,0.79714453,0.6825638,0.92280525,0.9438012,0.86465466
triviaqa::olmes:tc_52,0.9833083,0.98073065,0.9517154,0.9750964,0.9874576
triviaqa::olmes:tc_53,0.59104276,0.41380522,0.6598117,0.36949474,0.06369474
triviaqa::olmes:tc_54,0.79900074,0.8152857,0.7094968,0.9754641,0.97210306
triviaqa::olmes:tc_55,0.88740224,0.9807689,0.32903045,0.96390027,0.92135555
triviaqa::olmes:tc_57,0.6356426,0.50127375,0.45789626,0.45631737,0.0014866493
triviaqa::olmes:tc_58,0.9152792,0.9092934,0.91988754,0.81831074,0.87411416
triviaqa::olmes:tc_60,0.67514575,0.2178547,0.76566017,0.9177071,0.6887987
triviaqa::olmes:tc_61,0.33231315,0.41050985,0.7057824,0.816249,0.21555656
triviaqa::olmes:tc_63,0.8672944,0.2295034,0.70370835,0.75229573,0.83255255
triviaqa::olmes:tc_65,0.015432447,0.023606515,0.04353386,0.046436675,0.029091483
triviaqa::olmes:tc_66,0.23508927,0.12955262,0.004731105,0.065730594,0.008336291
triviaqa::olmes:tc_67,0.15827161,0.46207264,0.10732729,0.096787535,0.008387958
triviaqa::olmes:tc_68,0.9255366,0.96410185,0.99481344,0.9581037,0.98555785
triviaqa::olmes:tc_70,0.26912642,0.1280677,0.049343962,0.011194619,0.020903071
triviaqa::olmes:tc_72,0.13520007,0.00083802367,0.013459237,0.0009714266,0.08321068
triviaqa::olmes:tc_77,0.93873864,0.7815344,0.6662959,0.90292495,0.87824047
triviaqa::olmes:tc_78,0.8340826,0.8046737,0.8954177,0.8020917,0.8681188
triviaqa::olmes:tc_80,0.16652097,0.17012893,0.0448516,0.04145892,0.10180985
triviaqa::olmes:tc_81,0.48634923,0.14217538,0.19482775,0.48391464,0.31027067
triviaqa::olmes:tc_82,0.5132789,0.15574588,0.62411606,0.5431581,0.5431581
triviaqa::olmes:tc_84,0.12757103,0.056795776,0.079245664,0.070768006,0.038366135
triviaqa::olmes:tc_85,0.69832754,0.6867684,0.7766601,0.5979368,0.6650273
triviaqa::olmes:tc_86,0.8451018,0.97710973,0.02408952,0.019605758,0.9595782
triviaqa::olmes:tc_87,0.33913183,0.23599392,0.68540907,0.2537064,0.27345824
triviaqa::olmes:tc_88,0.28358418,0.1321529,0.021448087,0.36285856,0.010623053
triviaqa::olmes:tc_90,0.7479555,0.63958466,0.6412421,0.7460206,0.3603
triviaqa::olmes:tc_91,0.027182892,0.04987295,0.010905439,0.00730692,0.018983737
triviaqa::olmes:tc_94,0.6383455,0.5068365,0.40898213,0.42029887,0.5713826
triviaqa::olmes:tc_96,0.077578574,0.024507158,0.024837095,0.0024124759,0.0024124759
triviaqa::olmes:tc_97,0.17121565,0.7977508,0.08391533,0.022766517,0.15541247
triviaqa::olmes:tc_98,0.07455544,0.06137418,0.010140191,0.11290794,0.21267802
triviaqa::olmes:tc_99,0.98506445,0.89501905,0.9767879,0.9827923,0.9780231
triviaqa::olmes:tc_100,0.9918053,0.9094361,0.9908597,0.9789666,0.98335624
triviaqa::olmes:tc_101,0.3428408,0.77713597,0.33396825,0.7750783,0.9118816
triviaqa::olmes:tc_102,0.2052646,0.2758153,0.14059384,0.13872007,0.5197339
triviaqa::olmes:tc_103,0.2510108,0.46919647,0.18806745,0.44332948,0.11621282
triviaqa::olmes:tc_104,0.8137535,0.9206552,0.7333178,0.96217585,0.11029869
triviaqa::olmes:tc_107,0.9722826,0.9922024,0.9922024,0.94802034,0.9769378
triviaqa::olmes:tc_108,0.1044783,0.019581359,0.10826995,0.043173533,0.0403153
triviaqa::olmes:tc_109,0.42126054,0.19555254,0.6722797,0.11770404,0.5705099
triviaqa::olmes:tc_110,0.94760704,0.67951584,0.831326,0.9495159,0.9911423
triviaqa::olmes:tc_111,0.71954167,0.24502972,0.70339155,0.6313528,0.65622693
triviaqa::olmes:tc_112,0.47929567,0.39172912,0.22167487,0.429129,0.42849705
triviaqa::olmes:tc_113,0.27620173,0.81124777,0.028238973,0.3930133,0.3332328
triviaqa::olmes:tc_114,0.14805302,0.7053036,0.27978247,0.43961507,0.19317913
