query_id,ce_score_1,ce_score_2,ce_score_3,ce_score_4,ce_score_5
triviaqa::olmes:tc_1,0.9771722,0.96501577,0.791333,0.90953207,0.9071205
triviaqa::olmes:tc_3,0.97790635,0.91624844,0.9204721,0.98777825,0.9863491
triviaqa::olmes:tc_8,0.980198,0.98541486,0.95942855,0.96587265,0.9857432
triviaqa::olmes:tc_10,0.5009477,0.03525669,0.92881817,0.03548456,0.37849352
triviaqa::olmes:tc_11,0.9843178,0.9649396,0.92377555,0.9362828,0.67133945
triviaqa::olmes:tc_17,0.95332336,0.92715836,0.95808816,0.919225,0.9805331
triviaqa::olmes:tc_19,0.74709606,0.658995,0.007111465,0.005564864,0.0060412623
triviaqa::olmes:tc_21,0.5174005,0.9218569,0.89923847,0.9398531,0.89610136
triviaqa::olmes:tc_24,0.28305396,0.27132025,0.2316547,0.3514605,0.3514605
triviaqa::olmes:tc_26,0.93487626,0.836968,0.97994095,0.6431097,0.49770603
triviaqa::olmes:tc_27,0.98254067,0.96287996,0.92173237,0.5278503,0.95840913
triviaqa::olmes:tc_36,0.80077684,0.19966726,0.051685825,0.12797189,0.08714721
triviaqa::olmes:tc_39,0.8293287,0.7680966,0.77573675,0.81677014,0.3987266
triviaqa::olmes:tc_41,0.1485948,0.050397877,0.050441206,0.004027379,0.030153617
triviaqa::olmes:tc_52,0.9803034,0.98307496,0.964718,0.98321635,0.9901182
triviaqa::olmes:tc_55,0.9431112,0.9909615,0.7026063,0.9798533,0.9347352
triviaqa::olmes:tc_60,0.73132586,0.19896168,0.7978227,0.9327858,0.54273236
triviaqa::olmes:tc_61,0.336427,0.2803695,0.706222,0.85931945,0.23832743
triviaqa::olmes:tc_63,0.949744,0.3387689,0.9054464,0.8434863,0.87546396
triviaqa::olmes:tc_70,0.25747448,0.0947722,0.04115799,0.0041344627,0.0033878987
triviaqa::olmes:tc_88,0.26787284,0.0474085,0.009403666,0.2335729,0.008558796
triviaqa::olmes:tc_96,0.07140538,0.01300524,0.03879013,0.0034147971,0.0034147971
triviaqa::olmes:tc_98,0.16800076,0.07033987,0.019002805,0.11942366,0.21807472
triviaqa::olmes:tc_102,0.35679248,0.46234918,0.30110472,0.13285714,0.59670657
triviaqa::olmes:tc_103,0.30194646,0.59113425,0.16762877,0.48334938,0.103358425
triviaqa::olmes:tc_104,0.81754464,0.9292968,0.80088264,0.9410641,0.12429692
triviaqa::olmes:tc_107,0.9866991,0.9952181,0.9952181,0.9646453,0.96539927
triviaqa::olmes:tc_110,0.9239813,0.72700816,0.8576638,0.935303,0.99398524
triviaqa::olmes:tc_114,0.42943522,0.95513827,0.7049064,0.6266358,0.6023774
triviaqa::olmes:tc_115,0.03851737,0.038516574,0.0589293,0.0324127,0.32417607
triviaqa::olmes:tc_117,0.0821113,0.10926543,0.2967457,0.10495498,0.25141755
triviaqa::olmes:tc_120,0.9324276,0.9462481,0.8957214,0.9350149,0.14487752
triviaqa::olmes:tc_123,0.845154,0.28841436,0.21766588,0.15128477,0.5280429
triviaqa::olmes:tc_128,0.84135574,0.33692437,0.8936976,0.61280346,0.017870352
triviaqa::olmes:tc_131,0.86549795,0.02280684,0.1049346,0.60920334,0.63459826
triviaqa::olmes:tc_132,0.79990923,0.6196677,0.002706964,0.28817254,0.161378
triviaqa::olmes:tc_134,0.8387989,0.9297939,0.8714499,0.7065246,0.95380485
triviaqa::olmes:tc_136,0.60878366,0.354244,0.15886182,0.5079893,0.25953707
triviaqa::olmes:tc_138,0.8059973,0.6509789,0.011150679,0.8048363,0.9359193
triviaqa::olmes:tc_140,0.8991308,0.36686987,0.78461784,0.41570115,0.88978934
triviaqa::olmes:tc_145,0.10535687,0.7442138,0.0053396234,0.0036327715,0.0011594042
triviaqa::olmes:tc_146,0.8783411,0.6648518,0.37459612,0.5602304,0.9455098
triviaqa::olmes:tc_155,0.6970406,0.816165,0.41826278,0.24608444,0.4792121
triviaqa::olmes:tc_164,0.961658,0.12617575,0.7059913,0.8000865,0.25889328
triviaqa::olmes:tc_166,0.95071554,0.11873246,0.11873246,0.86874133,0.34579742
triviaqa::olmes:tc_168,0.49066368,0.044209942,0.80684644,0.27806878,0.14545205
triviaqa::olmes:tc_171,0.6548169,0.98357636,0.093341,0.4266371,0.15017085
triviaqa::olmes:tc_184,0.96406555,0.07626383,0.14794357,0.06281007,0.12997833
triviaqa::olmes:tc_186,0.036710463,0.06484605,0.03455461,0.08148537,0.076845594
triviaqa::olmes:tc_196,0.4164669,0.017164493,0.08254434,0.44033244,0.55841833
triviaqa::olmes:tc_205,0.05529517,0.6069413,0.7976689,0.54847604,0.81149346
triviaqa::olmes:tc_210,0.0011403007,0.08969796,0.0030294992,0.025784677,0.00024893592
triviaqa::olmes:tc_211,0.3249386,0.5584131,0.97688246,0.9311877,0.762001
triviaqa::olmes:tc_215,0.9575558,0.9427894,0.9698527,0.97886443,0.8964324
triviaqa::olmes:tc_218,0.9953933,0.97178036,0.9273452,0.9678981,0.8737398
triviaqa::olmes:tc_220,0.83682674,0.7896669,0.88284874,0.6370795,0.7749495
triviaqa::olmes:tc_221,0.16585673,0.5778013,0.30911478,0.17019933,0.5115346
triviaqa::olmes:tc_223,0.9404222,0.96054834,0.9257234,0.8582899,0.96056956
triviaqa::olmes:tc_224,0.94066304,0.9531165,0.85532314,0.91591316,0.7224697
triviaqa::olmes:tc_225,0.653205,0.87527525,0.033596694,0.9477166,0.05594676
triviaqa::olmes:tc_227,0.06995315,0.06995315,0.06995315,0.22816682,0.12559131
triviaqa::olmes:tc_230,0.99493486,0.9942175,0.9882157,0.9882157,0.9882157
triviaqa::olmes:tc_232,0.90704745,0.9671715,0.9892904,0.9740175,0.9058147
triviaqa::olmes:tc_236,0.97036743,0.9524168,0.82955503,0.9359283,0.97932154
triviaqa::olmes:tc_237,0.97598207,0.98238933,0.98950106,0.98950106,0.9892988
triviaqa::olmes:tc_239,0.016711496,0.021741355,0.04936608,0.007300493,0.04096345
triviaqa::olmes:tc_240,0.88862544,0.89132184,0.004612553,0.829595,0.9588491
triviaqa::olmes:tc_243,0.7613737,0.39162552,0.068022266,0.08852005,0.15140618
triviaqa::olmes:tc_247,0.66697526,0.86428034,0.92220944,0.67347497,0.86204845
triviaqa::olmes:tc_249,0.14868252,0.5140747,0.5506888,0.79779875,0.17060675
triviaqa::olmes:tc_252,0.88022745,0.9454898,0.8720362,0.9236062,0.16805515
triviaqa::olmes:tc_256,0.97778636,0.98976773,0.8947562,0.74848247,0.44240135
triviaqa::olmes:tc_258,0.9834293,0.874746,0.989419,0.9163599,0.92970777
triviaqa::olmes:tc_262,0.7519282,0.6849072,0.9069009,0.7832681,0.7242579
triviaqa::olmes:tc_264,0.7860879,0.96051437,0.98656267,0.96662885,0.6687964
triviaqa::olmes:tc_268,0.52735144,0.42692584,0.0626253,0.3371562,0.6633234
triviaqa::olmes:tc_270,0.028345333,0.72098595,0.38089836,0.27627698,0.62275374
triviaqa::olmes:tc_271,0.18783961,0.24298212,0.34024957,0.7688297,0.018331839
triviaqa::olmes:tc_272,0.9215828,0.9444991,0.7854883,0.7404328,0.89832383
triviaqa::olmes:tc_274,0.33856148,0.33856148,0.33856148,0.33856148,0.63414246
triviaqa::olmes:tc_275,0.22848855,0.22848855,0.5705402,0.9384587,0.76412725
triviaqa::olmes:tc_277,0.9738333,0.9763524,0.7361386,0.90055937,0.769093
triviaqa::olmes:tc_279,0.44308165,0.70022017,0.50117934,0.41062006,0.7005878
triviaqa::olmes:tc_287,0.9762299,0.96266294,0.99031395,0.98765045,0.9829748
triviaqa::olmes:tc_291,0.7517037,0.879729,0.26980922,0.7842475,0.19969577
triviaqa::olmes:tc_296,0.9645542,0.8029825,0.13966835,0.6427423,0.6427423
triviaqa::olmes:tc_297,0.08343989,0.07523442,0.18292694,0.21651602,0.088172026
triviaqa::olmes:tc_301,0.9776969,0.9527267,0.9527267,0.98260707,0.9848357
triviaqa::olmes:tc_302,0.9247429,0.7518715,0.7518715,0.2722505,0.28042832
triviaqa::olmes:tc_303,0.8565044,0.42191294,0.27004606,0.28770635,0.67005086
triviaqa::olmes:tc_305,0.7839484,0.7598816,0.66988635,0.5298014,0.8013552
triviaqa::olmes:tc_307,0.9052104,0.5620293,0.37107608,0.95338786,0.6107685
triviaqa::olmes:tc_308,0.06942194,0.05619566,0.0071233273,0.077378534,0.0912763
triviaqa::olmes:tc_309,0.8852464,0.7822189,0.41687256,0.84243333,0.8049321
triviaqa::olmes:tc_310,0.6676324,0.88739574,0.9798552,0.7779023,0.96762353
triviaqa::olmes:tc_313,0.88192505,0.9522839,0.9682216,0.96651536,0.8967377
triviaqa::olmes:tc_317,0.1982335,0.7553646,0.5123209,0.2667462,0.44973797
triviaqa::olmes:tc_319,0.5109713,0.5109713,0.30522227,0.34629813,0.56973094
triviaqa::olmes:tc_320,0.17001054,0.59245056,0.3547618,0.018112153,0.6252671
triviaqa::olmes:tc_323,0.4702784,0.441376,0.183639,0.75611436,0.41590643
triviaqa::olmes:tc_327,0.6043852,0.0620588,0.0620588,0.0620588,0.9336643
triviaqa::olmes:tc_329,0.723133,0.8319866,0.6357782,0.48799768,0.4883488
triviaqa::olmes:tc_330,0.48993614,0.780384,0.36957613,0.8716639,0.0585183
triviaqa::olmes:tc_333,0.35380018,0.048656445,0.24601881,0.03752563,0.015272806
triviaqa::olmes:tc_335,0.20617372,0.12852022,0.452824,0.21319982,0.20672432
triviaqa::olmes:tc_336,0.059301555,0.09835149,0.014255944,0.0023024927,0.023033304
triviaqa::olmes:tc_338,0.75300205,0.7713884,0.7689922,0.9513511,0.4560791
triviaqa::olmes:tc_339,0.7339565,0.5810894,0.2942581,0.30206665,0.5752034
triviaqa::olmes:tc_340,0.95946,0.7604014,0.7127928,0.8202153,0.8820324
triviaqa::olmes:tc_355,0.36731932,0.79097694,0.926968,0.70178634,0.8361301
triviaqa::olmes:tc_365,0.7789303,0.97255355,0.20065568,0.85501105,0.8893276
triviaqa::olmes:tc_381,0.24112312,0.46723375,0.0983601,0.58794105,0.30806166
triviaqa::olmes:tc_386,0.9151195,0.78554374,0.4332032,0.43515584,0.66514385
triviaqa::olmes:tc_388,0.9873116,0.95958173,0.9644886,0.94599396,0.8827751
triviaqa::olmes:tc_389,0.7364472,0.9285791,0.8814438,0.011741146,0.92472565
triviaqa::olmes:tc_394,0.97700775,0.9768826,0.73308796,0.5245018,0.7587087
triviaqa::olmes:tc_400,0.5305631,0.5004346,0.2795279,0.5977907,0.63294274
triviaqa::olmes:tc_404,0.99081427,0.052711688,0.94645816,0.14500803,0.98237926
triviaqa::olmes:tc_405,0.94727963,0.92795926,0.97719157,0.8708058,0.8708058
triviaqa::olmes:tc_417,0.16937242,0.11549336,0.11808405,0.1041254,0.06907235
triviaqa::olmes:tc_418,0.39245817,0.487696,0.37240955,0.37345386,0.3140225
triviaqa::olmes:tc_421,0.08048385,0.05422718,0.06789949,0.052856136,0.026970156
triviaqa::olmes:tc_434,0.91646945,0.9893499,0.97399205,0.37994018,0.94174945
triviaqa::olmes:tc_442,0.79307365,0.79307365,0.77789205,0.6996692,0.6851668
triviaqa::olmes:tc_448,0.8458927,0.74500054,0.92159903,0.6587407,0.5637212
