query_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
5,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0
8,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
9,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
13,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
17,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
21,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
26,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0
27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
33,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1
36,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1
43,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
47,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
48,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1
49,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
50,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1
51,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
52,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
53,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1
56,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
57,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
58,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
59,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
60,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
61,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1
64,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1
69,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
70,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
71,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
76,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
77,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
78,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
79,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
82,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
87,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
90,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
92,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
96,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
99,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
100,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
106,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
111,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
115,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1
118,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
124,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
129,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
133,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
134,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
138,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1
139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
143,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1
144,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
145,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
149,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
150,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
151,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1
152,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
153,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
