query_id,doc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2206,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0
1,168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1456,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
4,395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,941,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0
6,5018,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
7,2222,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0
8,2643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,423,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
10,3763,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,2108,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1
12,4230,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0
13,3947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,2599,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0
15,347,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
16,5187,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
17,3262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,5029,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
19,4636,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20,1203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,588,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,2148,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,2919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,3071,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1
27,4037,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
28,1183,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
29,5145,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
30,5038,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
31,1095,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,2960,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1
33,1418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,3393,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1
37,2138,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
38,3438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,3912,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
40,4706,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1
41,1993,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
42,1772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,3575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,4785,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,4447,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
48,3396,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
49,1161,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
50,4302,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0
51,1356,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1634,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
53,3203,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1
54,1341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1779,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1
56,4752,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0
57,2098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,3840,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
59,2692,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1
60,4423,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
61,1686,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1
62,3728,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1
63,1228,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0
64,2828,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1
65,1999,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1
66,2533,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
67,4337,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
68,4757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,4198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,2628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,4368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,4260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,5202,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
74,2680,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,3602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,1296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,2171,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
78,3438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,1448,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1
80,5018,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
81,4485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,4505,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
83,3315,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0
84,1399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,2984,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1
86,5032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,347,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1
88,761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,2466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,2414,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0
92,443,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
93,2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1158,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
95,2409,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
96,2453,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
